Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,839,401,32
Asylum-related,Iraq,200,20,5
Asylum-related,India,173,29,15
Asylum-related,El Salvador,160,3,1
Asylum-related,Pakistan,114,20,4
Asylum-related,Honduras,77,0,16
Asylum-related,Iran,78,4,3
Asylum-related,China,80,2,2
Asylum-related,Brazil,31,46,6
Asylum-related,Vietnam,33,30,1
Asylum-related,Other,697,156,76
Non asylum-related,Romania,103,766,6523
Non asylum-related,Brazil,1153,414,1698
Non asylum-related,India,2103,74,434
Non asylum-related,Bulgaria,17,72,1616
Non asylum-related,Albania,535,667,502
Non asylum-related,China,1252,5,76
Non asylum-related,East Timor,5,3,1110
Non asylum-related,Poland,17,272,732
Non asylum-related,Portugal,13,73,648
Non asylum-related,Spain,10,30,664
Non asylum-related,Other,4867,1106,9906
