Date,Applications
2001-01-01,19007
2001-04-01,15683
2001-07-01,18617
2001-10-01,17720
2002-01-01,22872
2002-04-01,24888
2002-07-01,27891
2002-10-01,27430
2003-01-01,19129
2003-04-01,12710
2003-07-01,14997
2003-10-01,13211
2004-01-01,10731
2004-04-01,9307
2004-07-01,10483
2004-10-01,10102
2005-01-01,8369
2005-04-01,7271
2005-07-01,7806
2005-10-01,7395
2006-01-01,7649
2006-04-01,6491
2006-07-01,7222
2006-10-01,6966
2007-01-01,6914
2007-04-01,6031
2007-07-01,7185
2007-10-01,8170
2008-01-01,7936
2008-04-01,7068
2008-07-01,8181
2008-10-01,8129
2009-01-01,10570
2009-04-01,7601
2009-07-01,6450
2009-10-01,6052
2010-01-01,5554
2010-04-01,5618
2010-07-01,5606
2010-10-01,5866
2011-01-01,6214
2011-04-01,6225
2011-07-01,6591
2011-10-01,6868
2012-01-01,6326
2012-04-01,6363
2012-07-01,7405
2012-10-01,7884
2013-01-01,7151
2013-04-01,7330
2013-07-01,7766
2013-10-01,7628
2014-01-01,7761
2014-04-01,7095
2014-07-01,9062
2014-10-01,8426
2015-01-01,7788
2015-04-01,7835
2015-07-01,12311
2015-10-01,12034
2016-01-01,10419
2016-04-01,10080
2016-07-01,9448
2016-10-01,9410
2017-01-01,8725
2017-04-01,8039
2017-07-01,8471
2017-10-01,9200
2018-01-01,8958
2018-04-01,8676
2018-07-01,9883
2018-10-01,10966
2019-01-01,11532
2019-04-01,9772
2019-07-01,11875
2019-10-01,12358
2020-01-01,10879
2020-04-01,5969
2020-07-01,10482
2020-10-01,9656
2021-01-01,7146
2021-04-01,10491
2021-07-01,18025
2021-10-01,22870
2022-01-01,15452
2022-04-01,18834
2022-07-01,28746
2022-10-01,26366
2023-01-01,17101
