Nation,Flag URL,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,https://public.flourish.studio/country-flags/svg/de.svg,53240,77485,126705,202645,476510,745160,222565,184180,165615,121955,190545,243835
France,https://public.flourish.studio/country-flags/svg/fr.svg,57330,61440,66265,64310,76165,84270,99330,137665,151070,93200,120685,156455
Spain,https://public.flourish.studio/country-flags/svg/es.svg,3420,2565,4485,5615,14780,15755,36610,54050,117800,88530,65295,117945
Austria,https://public.flourish.studio/country-flags/svg/at.svg,14420,17415,17500,28035,88160,42255,24715,13710,12860,14760,39900,112245
United Kingdom,https://public.flourish.studio/country-flags/svg/uk.svg,25898,27978,29875,32344,39968,39357,34435,38483,45537,36986,58532,89398
Italy,https://public.flourish.studio/country-flags/svg/it.svg,40315,17335,26620,64625,83540,122960,128850,59950,43770,26940,53610,84290
Greece,https://public.flourish.studio/country-flags/svg/el.svg,9310,9575,8225,9430,13205,51110,58650,66965,77275,40560,28355,37375
Netherlands,https://public.flourish.studio/country-flags/svg/nl.svg,14590,13095,13060,24495,44970,20945,18210,24025,25200,15255,26520,37020
Belgium,https://public.flourish.studio/country-flags/svg/be.svg,31910,28075,21030,22710,44665,18280,18340,22530,27460,16710,24970,36740
Switzerland,https://public.flourish.studio/country-flags/svg/ch.svg,23615,28400,21305,23560,39445,27140,18015,15160,14195,10990,14850,24440
Cyprus,https://public.flourish.studio/country-flags/svg/cy.svg,1770,1635,1255,1745,2265,2940,4600,7765,13650,7495,13670,22190
Bulgaria,https://public.flourish.studio/country-flags/svg/bg.svg,890,1385,7145,11080,20390,19420,3695,2535,2150,3525,11000,20390
Sweden,https://public.flourish.studio/country-flags/svg/se.svg,29650,43855,54270,81185,162450,28795,26330,21560,26255,16225,13990,18605
Ireland,https://public.flourish.studio/country-flags/svg/ie.svg,1290,955,945,1450,3275,2245,2930,3670,4780,1565,2650,13660
Croatia,https://public.flourish.studio/country-flags/svg/hr.svg,NA,NA,1080,450,210,2225,975,800,1400,1605,2930,12870
Romania,https://public.flourish.studio/country-flags/svg/ro.svg,1720,2510,1495,1545,1260,1880,4815,2135,2590,6155,9585,12355
Poland,https://public.flourish.studio/country-flags/svg/pl.svg,6885,10750,15240,8020,12190,12305,5045,4110,4070,2785,7795,9810
Slovenia,https://public.flourish.studio/country-flags/svg/si.svg,355,295,270,385,275,1310,1475,2875,3820,3550,5300,6785
Finland,https://public.flourish.studio/country-flags/svg/fi.svg,2915,3095,3210,3620,32345,5605,4995,4500,4520,3190,2525,5780
Norway,https://public.flourish.studio/country-flags/svg/no.svg,8990,9680,11930,11415,31115,3490,3520,2660,2265,1375,1635,4840
Denmark,https://public.flourish.studio/country-flags/svg/dk.svg,3945,6045,7170,14680,20935,6180,3220,3570,2700,1475,2080,4565
Iceland,https://public.flourish.studio/country-flags/svg/is.svg,75,115,125,170,370,1125,1085,775,845,640,870,4550
Estonia,https://public.flourish.studio/country-flags/svg/ee.svg,65,75,95,155,230,175,190,95,105,50,80,2945
Luxembourg,https://public.flourish.studio/country-flags/svg/lu.svg,2150,2050,1070,1150,2505,2160,2430,2335,2270,1345,1415,2460
Portugal,https://public.flourish.studio/country-flags/svg/pt.svg,275,295,500,440,895,1460,1750,1285,1820,1000,1540,2115
Czechia,https://public.flourish.studio/country-flags/svg/cz.svg,750,740,695,1145,1515,1475,1445,1690,1915,1160,1405,1685
Malta,https://public.flourish.studio/country-flags/svg/mt.svg,1890,2080,2250,1350,1845,1930,1840,2130,4090,2480,1595,1320
Lithuania,https://public.flourish.studio/country-flags/svg/lt.svg,525,645,400,440,315,430,545,405,645,315,3940,1025
Latvia,https://public.flourish.studio/country-flags/svg/lv.svg,340,205,195,375,330,350,355,185,195,180,615,620
Slovakia,https://public.flourish.studio/country-flags/svg/sk.svg,490,730,440,330,330,145,160,175,230,280,370,545
Montenegro,https://public.flourish.studio/country-flags/svg/me.svg,NA,NA,NA,NA,NA,NA,NA,3100,1920,540,270,175
Liechtenstein,https://public.flourish.studio/country-flags/svg/li.svg,75,70,55,65,150,80,150,165,50,35,95,80
Hungary,https://public.flourish.studio/country-flags/svg/hu.svg,1690,2155,18895,42775,177135,29430,3390,670,500,115,40,45
