Date,Ukraine Family Scheme,Ukraine Sponsorship Scheme
2022-04-05,10800,1200
2022-04-11,13200,3200
2022-04-18,15000,6600
2022-04-25,16000,11100
2022-05-03,17900,19500
2022-05-09,19500,26600
2022-05-16,20800,33000
2022-05-23,22000,38100
2022-05-29,23100,42600
2022-06-06,24000,46500
2022-06-13,25350,51000
2022-06-20,26700,55500
2022-06-27,27800,58800
2022-07-04,28700,62300
2022-07-11,29700,65600
2022-07-18,30500,69033.33333333333
2022-07-25,31300,72466.66666666667
2022-08-01,32100,75900
2022-08-08,32900,79000
2022-08-15,33500,81700
2022-08-22,34100,83900
2022-08-29,34500,86100
2022-09-05,34900,88000
2022-09-12,35500,90400
2022-09-19,36200,92800
2022-09-26,36800,94900
2022-10-03,37400,96800
2022-10-10,38000,98600
2022-10-17,38400,100000
2022-10-24,39000,101200
2022-10-31,39400,102100
2022-11-07,39900,103200
2022-11-14,40500,104100
2022-11-21,41100,105100
2022-11-28,41600,106200
2022-12-05,42100,107100
2022-12-12,42600,108000
2022-12-19,43300,109000
2022-12-26,43750,109650
2023-01-02,44200,110300
2023-01-09,44500,111000
2023-01-16,45300,112000
2023-01-23,45850,112850
2023-01-30,46400,113700
2023-02-06,46900,114400
2023-02-13,47500,115200
2023-02-20,47800,115800
2023-02-27,48200,116400
2023-03-06,48600,117100
2023-03-13,49000,117700
2023-03-20,49400,118300
2023-03-27,49700,119000
2023-04-03,50000,119700
2023-04-10,50300,120400
2023-04-17,50300,120400
2023-04-24,50600,121200
2023-05-01,50800,121700
2023-05-08,51100,122400
2023-05-15,51300,122900
2023-05-22,51500,123400
2023-05-29,51800,124000
2023-06-05,51800,124000
2023-06-12,52100,125000
