Date,Visas granted
2010-03-31,1091
2010-06-30,1074
2010-09-30,1367
2010-12-31,1354
2011-03-31,1323
2011-06-30,919
2011-09-30,1131
2011-12-31,931
2012-03-31,922
2012-06-30,871
2012-09-30,777
2012-12-31,1098
2013-03-31,948
2013-06-30,874
2013-09-30,1180
2013-12-31,1119
2014-03-31,1548
2014-06-30,955
2014-09-30,869
2014-12-31,1078
2015-03-31,944
2015-06-30,985
2015-09-30,1455
2015-12-31,1465
2016-03-31,1581
2016-06-30,1361
2016-09-30,1709
2016-12-31,1388
2017-03-31,1294
2017-06-30,1079
2017-09-30,1340
2017-12-31,1486
2018-03-31,1841
2018-06-30,1220
2018-09-30,1328
2018-12-31,1323
2019-03-31,1592
2019-06-30,1681
2019-09-30,1878
2019-12-31,2305
2020-03-31,1539
2020-06-30,105
2020-09-30,1548
2020-12-31,1605
2021-03-31,1461
2021-06-30,1464
2021-09-30,1632
2021-12-31,1088
2022-03-31,1323
2022-06-30,820
2022-09-30,1134
2022-12-31,836
2023-03-31,1556
2023-06-30,1145
2023-09-30,2577
