Date,Cost
2013-01-01,102
2013-04-01,100
2013-07-01,100
2013-10-01,100
2014-01-01,98
2014-04-01,98.7
2014-07-01,97.1
2014-10-01,96.16
2015-01-01,92.67
2015-04-01,91.61
2015-07-01,90.41
2015-10-01,90.59
2016-01-01,89.93
2016-04-01,88.46
2016-07-01,87.63
2016-10-01,86.08
2017-01-01,85.47
2017-04-01,85.53
2017-07-01,85.92
2017-10-01,85.97
2018-01-01,86.92
2018-04-01,87.52
2018-07-01,88.29
2018-10-01,87.71
2019-01-01,88.68
2019-04-01,90.21
2019-07-01,91.34
2019-10-01,95.49
2020-01-01,96.86
2020-04-01,97.54
2020-07-01,99.56
2020-10-01,96.66
2021-01-01,101.17
2021-04-01,98.78
2021-07-01,101.42
2021-10-01,101.61
2022-01-01,107.23
2022-04-01,113.16
2022-07-01,115.32
2022-10-01,120.42
2023-01-01,112.85
