Date,Total
2010-06-30,18954
2010-09-30,15900
2010-12-31,14882
2011-03-31,17218
2011-06-30,16804
2011-09-30,16457
2011-12-31,16907
2012-03-31,15378
2012-06-30,15749
2012-09-30,17294
2012-12-31,18916
2013-03-31,19045
2013-06-30,19602
2013-09-30,20809
2013-12-31,23070
2014-03-31,26480
2014-06-30,28525
2014-09-30,31134
2014-12-31,31545
2015-03-31,29971
2015-06-30,29586
2015-09-30,31881
2015-12-31,33990
2016-03-31,34201
2016-06-30,34399
2016-09-30,33997
2016-12-31,32788
2017-03-31,31492
2017-06-30,31359
2017-09-30,32222
2017-12-31,32734
2018-03-31,32675
2018-06-30,33035
2018-09-30,35009
2018-12-31,38180
2019-03-31,42067
2019-06-30,43833
2019-09-30,48400
2019-12-31,56261
2020-03-31,53709
2020-06-30,56476
2020-09-30,63409
2020-12-31,70072
2021-03-31,69581
2021-06-30,72741
2021-09-30,87995
2021-12-31,104924
2022-03-31,114610
2022-06-30,127026
2022-09-30,148533
2022-12-31,166261
2023-03-31,172758
2023-06-30,175457
2023-09-30,165411
2023-12-31,128786
