Nationality,Raised or resolved,Asylum application raised in quarter,Existing asylum application,18+,Less than 18
Afghanistan,Raised,1279,104,NA,NA
Afghanistan,Resolved,NA,NA,298,517
Albania,Raised,77,1,NA,NA
Albania,Resolved,NA,NA,7,30
Egypt,Raised,76,8,NA,NA
Egypt,Resolved,NA,NA,16,23
Eritrea,Raised,190,31,NA,NA
Eritrea,Resolved,NA,NA,66,125
Iran,Raised,365,59,NA,NA
Iran,Resolved,NA,NA,92,253
Iraq,Raised,98,19,NA,NA
Iraq,Resolved,NA,NA,34,74
Sudan,Raised,325,54,NA,NA
Sudan,Resolved,NA,NA,138,150
Syria,Raised,96,10,NA,NA
Syria,Resolved,NA,NA,26,42
