Date,Section 4,Section 95,Section 98
2014-03-31,4854,25355,1085
2014-06-30,4862,26720,1262
2014-09-30,4885,27815,1765
2014-12-31,4997,29750,1476
2015-03-31,4941,30476,889
2015-06-30,4657,30457,989
2015-09-30,4173,31896,1660
2015-12-31,3821,34363,1985
2016-03-31,3640,35683,2240
2016-06-30,3732,37030,1889
2016-09-30,3765,37958,1993
2016-12-31,3773,39389,1990
2017-03-31,3821,39365,1563
2017-06-30,3876,38954,1447
2017-09-30,3924,39414,1618
2017-12-31,4114,40736,1802
2018-03-31,4333,42352,1562
2018-06-30,4179,42808,1738
2018-09-30,4064,43383,2089
2018-12-31,4032,44265,2129
2019-03-31,3903,45648,1832
2019-06-30,3893,45203,1583
2019-09-30,3857,44156,3049
2019-12-31,3804,43549,2738
2020-03-31,4077,44244,2577
2020-06-30,5357,45769,5444
2020-09-30,6074,46520,10315
2020-12-31,6180,45626,12235
2021-03-31,6122,44825,10294
2021-06-30,5935,46254,10682
2021-09-30,6096,45857,16794
2021-12-31,5613,54669,24175
2022-03-31,5433,52715,26859
2022-06-30,5386,58373,29321
2022-09-30,5205,58200,37142
2022-12-31,4861,55817,49493
2023-03-31,4800,55948,51546
2023-06-30,4108,106607,6735
2023-09-30,3836,118800,1122
