Date,Pending initial decision (more than 6 months),Pending initial decision (6 months or less),Pending further review
2010-06-30,6070,3371,9513
2010-09-30,4743,3172,7985
2010-12-31,4082,3158,7642
2011-03-31,3831,3544,9843
2011-06-30,3454,4073,9277
2011-09-30,3255,4686,8516
2011-12-31,3232,5625,8050
2012-03-31,3609,4790,6979
2012-06-30,4432,4756,6561
2012-09-30,4956,5958,6380
2012-12-31,5870,6946,6100
2013-03-31,6630,5988,6427
2013-06-30,7536,5588,6478
2013-09-30,7570,7327,5912
2013-12-31,8481,9691,4898
2014-03-31,10700,11116,4664
2014-06-30,13435,10290,4800
2014-09-30,13997,10372,6765
2014-12-31,11629,11269,8647
2015-03-31,4293,12586,13092
2015-06-30,4920,11243,13423
2015-09-30,4903,14544,12434
2015-12-31,4860,17287,11843
2016-03-31,6472,17173,10556
2016-06-30,8254,17482,8663
2016-09-30,10372,16880,6745
2016-12-31,11420,16437,4931
2017-03-31,11590,15458,4444
2017-06-30,13455,14254,3650
2017-09-30,14399,13960,3863
2017-12-31,14306,15216,3212
2018-03-31,13457,15807,3411
2018-06-30,14528,15456,3051
2018-09-30,15674,16525,2810
2018-12-31,16555,19300,2325
2019-03-31,18734,20234,3099
2019-06-30,22187,18773,2873
2019-09-30,26125,19130,3145
2019-12-31,29233,21995,5033
2020-03-31,31516,20390,1803
2020-06-30,38756,15317,2403
2020-09-30,46108,14440,2861
2020-12-31,46796,18099,5177
2021-03-31,50084,16101,3396
2021-06-30,54040,16865,1836
2021-09-30,56520,27213,4262
2021-12-31,61864,38700,4360
2022-03-31,73207,36528,4875
2022-06-30,89231,32982,4813
2022-09-30,97717,45660,5156
2022-12-31,109641,51278,5342
2023-03-31,128812,43946,NA
2023-06-30,139961,35496,NA
2023-09-30,124461,40950,NA
2023-12-31,83254,45532,NA
