City,Number of people supported
Leicester,1634
Belfast,1097
Glasgow,1093
Bristol,1086
Derby,1024
Cardiff,912
London,764
Plymouth,536
Birmingham,513
Newcastle Upon Tyne,495
Liverpool,455
Nottingham,452
Sunderland,410
Peterborough,407
Leeds,383
Norwich,377
Manchester,366
Stockton-On-Tees,323
Sheffield,293
Oldham,277
Preston,229
Bournemouth,179
Luton,169
Rochdale,165
Bradford,164
Middlesbrough,157
Leyland,155
Bury,149
Northampton,141
Coventry,134
Gateshead,131
Ashington,128
Rotherham,123
South Shields,116
Warrington,115
Basildon,111
Loughborough,108
Portsmouth,107
